3	4
4	3
U[61]	Top5LabeledData
0	4
1	4
2	4
3	4
4	4
U[62]	Top5UnlabeledData
0	2
1	3
2	4
3	4
4	4
U[62]	Top5LabeledData
0	3
1	0
2	4
3	2
4	3
U[63]	Top5UnlabeledData
0	0
1	4
2	4
3	4
4	4
U[63]	Top5LabeledData
0	4
1	4
2	4
3	3
4	4
U[64]	Top5UnlabeledData
0	4
1	0
2	4
3	4
4	4
U[64]	Top5LabeledData
0	4
1	4
2	4
3	4
4	4
U[65]	Top5UnlabeledData
0	4
1	4
2	1
3	4
4	4
U[65]	Top5LabeledData
0	4
1	4
2	4
3	4
4	4
U[66]	Top5UnlabeledData
0	0
1	4
2	0
3	4
4	4
U[66]	Top5LabeledData
0	0
1	1
2	4
3	3
4	3
U[67]	Top5UnlabeledData
0	4
1	4
2	4
3	4
4	4
U[67]	Top5LabeledData
0	4
1	4
2	2
3	2
4	4
U[68]	Top5UnlabeledData
0	0
1	3
2	0
3	4
4	0
U[68]	Top5LabeledData
0	3
1	0
2	4
3	4
4	4
U[69]	Top5UnlabeledData
0	3
1	4
2	4
3	4
4	4
U[69]	Top5LabeledData
0	4
1	3
2	4
3	4
4	4
U[70]	Top5UnlabeledData
0	4
1	4
2	4
3	4
4	3
U[70]	Top5LabeledData
0	4
1	4
2	4
3	4
4	4
U[71]	Top5UnlabeledData
0	4
1	3
2	4
3	0
4	4
U[71]	Top5LabeledData
0	3
1	4
2	3
3	3
4	4
U[72]	Top5UnlabeledData
0	4
1	4
2	3
3	4
4	3
U[72]	Top5LabeledData
0	4
1	4
2	4
3	4
4	4
U[73]	Top5UnlabeledData
0	3
1	4
2	4
3	4
4	2
U[73]	Top5LabeledData
0	4
1	3
2	4
3	4
4	3
U[74]	Top5UnlabeledData
0	0
1	4
2	4
3	4
4	4
U[74]	Top5LabeledData
0	3
1	4
2	0
3	3
4	4
U[75]	Top5UnlabeledData
0	4
1	4
2	4
3	3
4	0
U[75]	Top5LabeledData
0	3
1	3
2	4
3	4
4	4
U[76]	Top5UnlabeledData
0	0
1	3
2	4
3	4
4	4
U[76]	Top5LabeledData
0	2
1	0
2	0
3	4
4	4
U[77]	Top5UnlabeledData
0	4
1	4
2	4
3	4
4	3
U[77]	Top5LabeledData
0	4
1	4
2	4
3	4
4	1
U[78]	Top5UnlabeledData
0	3
1	0
2	4
3	0
4	4
U[78]	Top5LabeledData
0	0
1	4
2	0
3	4
4	4
U[79]	Top5UnlabeledData
0	4
1	4
2	3
3	4
4	4
U[79]	Top5LabeledData
0	4
1	4
2	4
3	4
4	4
U[80]	Top5UnlabeledData
0	0
1	3
2	4
3	4
4	0
U[80]	Top5LabeledData
0	1
1	4
2	0
3	3
4	0
U[81]	Top5UnlabeledData
0	4
1	4
2	4
3	4
4	0
U[81]	Top5LabeledData
0	4
1	4
2	1
3	0
4	4
U[82]	Top5UnlabeledData
0	4
1	0
2	3
3	4
4	4
U[82]	Top5LabeledData
0	4
1	0
2	3
3	3
4	3
U[83]	Top5UnlabeledData
0	0
1	2
2	0
3	4
4	4
U[83]	Top5LabeledData
0	0
1	0
2	0
3	0
4	0
U[84]	Top5UnlabeledData
0	4
1	3
2	4
3	3
4	4
U[84]	Top5LabeledData
0	4
1	4
2	4
3	3
4	3
U[85]	Top5UnlabeledData
0	4
1	4
2	4
3	3
4	0
U[85]	Top5LabeledData
0	0
1	1
2	0
3	1
4	4
U[86]	Top5UnlabeledData
0	3
1	3
2	4
3	0
4	4
U[86]	Top5LabeledData
0	4
1	1
2	4
3	4
4	4
U[87]	Top5UnlabeledData
0	4
1	4
2	4
3	3
4	0
U[87]	Top5LabeledData
0	4
1	0
2	4
3	4
4	0
U[88]	Top5UnlabeledData
0	4
1	4
2	2
3	3
4	2
U[88]	Top5LabeledData
0	3
1	1
2	2
3	4
4	1
U[89]	Top5UnlabeledData
0	0
1	4
2	3
3	4
4	3
U[89]	Top5LabeledData
0	4
1	1
2	3
3	3
4	3
U[90]	Top5UnlabeledData
0	4
1	4
2	4
3	4
4	2
U[90]	Top5LabeledData
0	3
1	0
2	1
3	4
4	4
U[91]	Top5UnlabeledData
0	4
1	4
2	0
3	4
4	2
U[91]	Top5LabeledData
0	0
1	4
2	0
3	1
4	4
U[92]	Top5UnlabeledData
0	3
1	1
2	0
3	2
4	0
U[92]	Top5LabeledData
0	3
1	0
2	4
3	4
4	1
U[93]	Top5UnlabeledData
0	3
1	0
2	4
3	0
4	4
U[93]	Top5LabeledData
0	4
1	3
2	4
3	3
4	4
U[94]	Top5UnlabeledData
0	2
1	4
2	4
3	4
4	3
U[94]	Top5LabeledData
0	3
1	1
2	4
3	3
4	4
U[95]	Top5UnlabeledData
0	0
1	4
2	3
3	4
4	
